path,label,scene,label_name,split
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160704_204348_0d05__-122.33323169412_37.75883429252433.png,0,20160704_204348_0d05,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160704_204348_0d05__-122.33580150880881_37.768528883955675.png,0,20160704_204348_0d05,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160704_204348_0d05__-122.4062383799909_37.6666680001658.png,0,20160704_204348_0d05,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160704_204349_0d05__-122.29233586278269_37.76519340123061.png,0,20160704_204349_0d05,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160710_182139_0c78__-122.30593748745294_37.87681028471107.png,0,20160710_182139_0c78,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160710_182139_0c78__-122.37082830214578_37.75117253740744.png,0,20160710_182139_0c78,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160710_182140_0c78__-122.28861764306099_37.80132238942605.png,0,20160710_182140_0c78,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160710_182140_0c78__-122.33222040157942_37.75009485108779.png,0,20160710_182140_0c78,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160710_182140_0c78__-122.33743457924228_37.75728971371875.png,0,20160710_182140_0c78,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160710_182140_0c78__-122.34389597555513_37.750647134514566.png,0,20160710_182140_0c78,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160710_182140_0c78__-122.36167510647154_37.72651739424844.png,0,20160710_182140_0c78,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160816_013435_0c64__-122.19128860029795_37.69537684384939.png,0,20160816_013435_0c64,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160816_013435_0c64__-122.27735958270085_37.595780400519295.png,0,20160816_013435_0c64,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160816_013435_0c64__-122.2900487810803_37.65512885187229.png,0,20160816_013435_0c64,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160816_013435_0c64__-122.3030225629262_37.68616668441882.png,0,20160816_013435_0c64,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160820_233143_0c53__-122.24956687505032_37.8583755416039.png,0,20160820_233143_0c53,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160820_233143_0c53__-122.30535897847275_37.85122813774631.png,0,20160820_233143_0c53,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160820_233143_0c53__-122.316997688795_37.82420317500978.png,0,20160820_233143_0c53,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160820_233143_0c53__-122.32756002939725_37.7382521329326.png,0,20160820_233143_0c53,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160820_233143_0c53__-122.3294838764191_37.8004805108676.png,0,20160820_233143_0c53,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160820_233143_0c53__-122.33871292162644_37.78966292304172.png,0,20160820_233143_0c53,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160820_233143_0c53__-122.34565417398554_37.81776832786185.png,0,20160820_233143_0c53,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160820_233143_0c53__-122.34800754551517_37.7594307122621.png,0,20160820_233143_0c53,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160820_233143_0c53__-122.34920692497734_37.77025307875835.png,0,20160820_233143_0c53,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160820_233143_0c53__-122.36042556233372_37.79259487116029.png,0,20160820_233143_0c53,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160820_233143_0c53__-122.36102020218988_37.77102075095342.png,0,20160820_233143_0c53,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160905_193457_1_0c37__-122.43294059528056_37.72477265075141.png,0,20160905_193457_1_0c37,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160905_193457_1_0c37__-122.46023886886336_37.77216594085852.png,0,20160905_193457_1_0c37,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160905_193457_1_0c37__-122.48541134123563_37.71327812922112.png,0,20160905_193457_1_0c37,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160905_193457_1_0c37__-122.49381145928251_37.734324343193045.png,0,20160905_193457_1_0c37,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160905_193457_1_0c37__-122.49486491480681_37.664403896077786.png,0,20160905_193457_1_0c37,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160905_193457_1_0c37__-122.50138645463649_37.711535107692285.png,0,20160905_193457_1_0c37,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160905_193458_0c37__-122.33299988326662_37.74671934055966.png,0,20160905_193458_0c37,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160905_193458_0c37__-122.33756251259427_37.739119954394575.png,0,20160905_193458_0c37,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160905_193458_0c37__-122.340008531414_37.74740774072642.png,0,20160905_193458_0c37,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160905_193458_0c37__-122.34588841807276_37.756417599310865.png,0,20160905_193458_0c37,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160905_193458_0c37__-122.35290865442003_37.748074138551125.png,0,20160905_193458_0c37,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160905_193458_0c37__-122.38499050230584_37.70230567997595.png,0,20160905_193458_0c37,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160905_193458_0c37__-122.41812939109248_37.694659388872736.png,0,20160905_193458_0c37,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160905_193458_0c37__-122.45251494281177_37.62754866962661.png,0,20160905_193458_0c37,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160905_193458_0c37__-122.46381277841687_37.64028234913973.png,0,20160905_193458_0c37,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160905_193458_0c37__-122.46385183434099_37.63484747368108.png,0,20160905_193458_0c37,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160905_193458_0c37__-122.49581757936237_37.62411826912237.png,0,20160905_193458_0c37,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20160905_193459_0c37__-122.30642544690812_37.70438439693344.png,0,20160905_193459_0c37,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161006_002711_0c1b__-122.32556920496363_37.78877724113449.png,0,20161006_002711_0c1b,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161006_002711_1_0c1b__-122.25471408628813_37.75349683730676.png,0,20161006_002711_1_0c1b,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161006_002711_1_0c1b__-122.27072925839249_37.769901689689796.png,0,20161006_002711_1_0c1b,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161006_002711_1_0c1b__-122.31250467028002_37.76466384872186.png,0,20161006_002711_1_0c1b,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161006_002711_1_0c1b__-122.32059617641094_37.75884324448535.png,0,20161006_002711_1_0c1b,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161006_002711_1_0c1b__-122.32999585497714_37.77019949342491.png,0,20161006_002711_1_0c1b,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161006_002711_1_0c1b__-122.36180580076082_37.857874707844296.png,0,20161006_002711_1_0c1b,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161006_003958_0c12__-122.34279708718823_37.720870559730386.png,0,20161006_003958_0c12,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161006_003958_0c12__-122.41531011860283_37.70267624304593.png,0,20161006_003958_0c12,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161006_003958_0c12__-122.41744319465516_37.68667926929303.png,0,20161006_003958_0c12,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161006_003958_0c12__-122.44736027864329_37.79536011286129.png,0,20161006_003958_0c12,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161006_004003_0c38__-122.43387249673621_37.7141505445789.png,0,20161006_004003_0c38,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161006_004003_0c38__-122.46471851960996_37.73668346826086.png,0,20161006_004003_0c38,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161006_004004_0c38__-122.34609489801724_37.72908187232048.png,0,20161006_004004_0c38,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161006_004004_0c38__-122.34842215196089_37.758757021099356.png,0,20161006_004004_0c38,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161006_004004_0c38__-122.35115763991095_37.7692093023039.png,0,20161006_004004_0c38,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161006_004005_0c38__-122.36565907133564_37.810144566440925.png,0,20161006_004005_0c38,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161006_004005_0c38__-122.36833247432081_37.868346925333356.png,0,20161006_004005_0c38,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161011_185736_0c72__-122.33929242287445_37.77049533872591.png,0,20161011_185736_0c72,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161011_185736_0c72__-122.43812033906474_37.79161202045192.png,0,20161011_185736_0c72,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_192055_0d05__-122.28685147391981_37.648052185960495.png,0,20161018_192055_0d05,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_192055_0d05__-122.34538215222926_37.73270120838732.png,0,20161018_192055_0d05,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_192055_0d05__-122.35904416260212_37.76711635473927.png,0,20161018_192055_0d05,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_192144_0c24__-122.33281349204776_37.75610095095237.png,0,20161018_192144_0c24,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_192144_0c24__-122.36068782806099_37.78983829228141.png,0,20161018_192144_0c24,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_192144_0c24__-122.38801773887562_37.80999245445229.png,0,20161018_192144_0c24,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_192144_0c24__-122.40397212243812_37.81369751286148.png,0,20161018_192144_0c24,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_192144_0c24__-122.4790600312469_37.85209765752398.png,0,20161018_192144_0c24,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_192144_1_0c24__-122.40019936789899_37.774471412150916.png,0,20161018_192144_1_0c24,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_192144_1_0c24__-122.44835978428236_37.82132249492779.png,0,20161018_192144_1_0c24,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_192144_1_0c24__-122.473981625728_37.83252578178995.png,0,20161018_192144_1_0c24,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_192144_1_0c24__-122.48338312902547_37.79452312436579.png,0,20161018_192144_1_0c24,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_192144_1_0c24__-122.4901773358256_37.82727027720635.png,0,20161018_192144_1_0c24,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_192144_1_0c24__-122.49914333740793_37.82720058882973.png,0,20161018_192144_1_0c24,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_192144_1_0c24__-122.53107256162552_37.83457855720337.png,0,20161018_192144_1_0c24,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_192145_0c24__-122.28277499652614_37.788821932490436.png,0,20161018_192145_0c24,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_192145_0c24__-122.28630104795275_37.80125429940559.png,0,20161018_192145_0c24,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_193328_0c45__-122.37991888157113_37.73507814459864.png,0,20161018_193328_0c45,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_193328_0c45__-122.42994942378027_37.755258846767305.png,0,20161018_193328_0c45,No-Ship,val
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_193329_0c45__-122.25661180214303_37.69994380886857.png,0,20161018_193329_0c45,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_193329_0c45__-122.34397799369991_37.75678553176365.png,0,20161018_193329_0c45,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_193329_0c45__-122.35795190402878_37.76738080220403.png,0,20161018_193329_0c45,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_193330_0c45__-122.20046028532018_37.72220836810874.png,0,20161018_193330_0c45,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_193330_0c45__-122.23175803087699_37.72741876294356.png,0,20161018_193330_0c45,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_193330_0c45__-122.28330362659713_37.79758582449962.png,0,20161018_193330_0c45,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161018_193330_0c45__-122.33159081374681_37.78599947823349.png,0,20161018_193330_0c45,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161022_180611_0e19__-122.04392119751017_37.771443273204845.png,0,20161022_180611_0e19,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161022_180611_0e19__-122.04846234655373_37.794517056470276.png,0,20161022_180611_0e19,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161022_180611_0e19__-122.06925660085886_37.774755586498244.png,0,20161022_180611_0e19,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161022_180611_0e19__-122.07424982176944_37.74037437152596.png,0,20161022_180611_0e19,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161022_180611_0e19__-122.07811501017659_37.796564427397136.png,0,20161022_180611_0e19,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161022_180611_0e19__-122.08983998232844_37.77129316862848.png,0,20161022_180611_0e19,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161022_180611_0e19__-122.1130711132218_37.73704965610468.png,0,20161022_180611_0e19,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161022_180611_0e19__-122.16475986533197_37.80626862462419.png,0,20161022_180611_0e19,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161022_180611_0e19__-122.16938698985761_37.80086652498767.png,0,20161022_180611_0e19,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161022_180611_0e19__-122.26046365262594_37.78143751316057.png,0,20161022_180611_0e19,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161022_180612_0e19__-122.05294087231242_37.69715889815695.png,0,20161022_180612_0e19,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161022_180612_0e19__-122.12618892026703_37.730441929537086.png,0,20161022_180612_0e19,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161022_180612_0e19__-122.16267462602649_37.6708146046706.png,0,20161022_180612_0e19,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161022_180612_0e19__-122.22472377936849_37.68045929342757.png,0,20161022_180612_0e19,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161102_180658_0e26__-122.16488110131763_37.768252710335325.png,0,20161102_180658_0e26,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161102_180658_0e26__-122.23122736968294_37.75239959943399.png,0,20161102_180658_0e26,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161102_180658_0e26__-122.28126318568829_37.769020038003475.png,0,20161102_180658_0e26,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161102_180658_0e26__-122.31527680074582_37.79277375149748.png,0,20161102_180658_0e26,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161102_180658_0e26__-122.32843644745485_37.73923054907409.png,0,20161102_180658_0e26,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161102_180658_0e26__-122.34040514248915_37.748761931300486.png,0,20161102_180658_0e26,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161102_180658_0e26__-122.35827124259994_37.76984312140748.png,0,20161102_180658_0e26,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161102_180658_0e26__-122.35877759625123_37.75064792039788.png,0,20161102_180658_0e26,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161102_180658_0e26__-122.3794681449569_37.76051990489727.png,0,20161102_180658_0e26,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161102_180658_0e26__-122.38146324377499_37.79495145620145.png,0,20161102_180658_0e26,No-Ship,test
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161102_180659_0e26__-122.33989462905319_37.67967299745219.png,0,20161102_180659_0e26,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161102_180659_0e26__-122.36166526983595_37.719730414156764.png,0,20161102_180659_0e26,No-Ship,train
C:\Users\sad77\Desktop\Part-A.1-CalEnvAgency\shipdata_2025\cropped_ship_dataset\0__20161102_180659_0e26__-122.3639148574351_37.7233658741853.png,0,20161102_180659_0e26,No-Ship,train
